document,title,body,jurisdiction,region,type,version,date,current,changes,sourceUrl,archiveUrl,url
us-fre-court-2026-proposed-rule-707,Proposed Rule 707: Evidence Produced by Artificial Intelligence and Presented at Trial Without an Expert,Federal Rules of Evidence / Advisory Committee on Evidence Rules,us-federal,,court-rule,Original,2026-05-17,true,,https://www.uscourts.gov/sites/default/files/document/advisory_committee_on_evidence_rules_may_2026.pdf,,https://safelegalai.com/regulation/us-federal/us-fre-court-2026-proposed-rule-707
int-coe-framework-convention-ai-cets-225,"Council of Europe Framework Convention on Artificial Intelligence and Human Rights, Democracy and the Rule of Law (CETS No. 225)",CoE,international,,statute,EU ratification,2026-05-15,true,First ratification. Treaty Office chart of 3 September 2026 shows 20 signatures without ratification; not yet in force.,https://www.coe.int/en/web/artificial-intelligence/-/european-union-ratifies-the-council-of-europe-framework-convention-on-artificial-intelligence,,https://safelegalai.com/regulation/international/int-coe-framework-convention-ai-cets-225
int-coe-framework-convention-ai-cets-225,"Council of Europe Framework Convention on Artificial Intelligence and Human Rights, Democracy and the Rule of Law (CETS No. 225)",CoE,international,,statute,Opened for signature,2024-09-05,false,Signed in Vilnius by 10 states plus the EU; corrected certified copy per Committee of Ministers decision of 30 April 2025.,https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225,,https://safelegalai.com/regulation/international/int-coe-framework-convention-ai-cets-225
int-coe-framework-convention-ai-cets-225,"Council of Europe Framework Convention on Artificial Intelligence and Human Rights, Democracy and the Rule of Law (CETS No. 225)",CoE,international,,statute,Adopted by the Committee of Ministers,2024-05-17,false,,https://rm.coe.int/1680afae3c,,https://safelegalai.com/regulation/international/int-coe-framework-convention-ai-cets-225
vic-sc-gen-25-ai-court-users,Practice Note SC GEN 25: The Use of Artificial Intelligence by Court Users,Supreme Court of Victoria,australia,Victoria,practice-direction,Original,2026-05-14,true,,https://www.supremecourt.vic.gov.au/areas/legal-resources/practice-notes/sc-gen-25-the-use-of-artificial-intelligence-by-court-users,,https://safelegalai.com/regulation/australia/vic-sc-gen-25-ai-court-users
vic-supreme-court-judicial-ai-guidelines,Judicial Guidelines on the Use of Artificial Intelligence,Supreme Court of Victoria,australia,Victoria,guidance,Original,2026-05-14,true,,https://www.supremecourt.vic.gov.au/news/new-practice-note-and-judicial-guidelines-on-the-use-of-artificial-intelligence,,https://safelegalai.com/regulation/australia/vic-supreme-court-judicial-ai-guidelines
us-tx-colorado-lavaca-25th-districts-2026-generative-ai-standing-order,25th and 2nd 25th District Courts Standing Order on Use of Generative AI,25th and 2nd 25th District Courts of Texas (Judge Crawford),us-state,Texas,standing-order,Original,2026-05-12,true,,https://topics.txcourts.gov/LocalRulesPublic/PreviewAttachment/2975,,https://safelegalai.com/regulation/us-state/us-tx-colorado-lavaca-25th-districts-2026-generative-ai-standing-order
us-nysd-subramanian-2026-chatgpt-accuracy,Individual Practices in Civil Cases: Use of ChatGPT and Other Tools,Southern District of New York (Judge Subramanian),us-federal,New York,standing-order,As posted (undated),2026-05-11,true,,https://www.nysd.uscourts.gov/sites/default/files/practice_documents/AS%20Subramanian%20Civil%20Individual%20Practices.pdf,,https://safelegalai.com/regulation/us-federal/us-nysd-subramanian-2026-chatgpt-accuracy
us-tx-collin-district-courts-2026-local-rules-ai-filings,Collin County District Courts Local Rules: Use of Artificial Intelligence in Court Filings,Collin County District Courts (Judge Judges),us-state,Texas,court-rule,Original,2026-05-06,true,,https://topics.txcourts.gov/LocalRulesPublic/PreviewAttachment/3015,,https://safelegalai.com/regulation/us-state/us-tx-collin-district-courts-2026-local-rules-ai-filings
au-fcfcoa-pd-ai,Practice Direction: Use of Artificial Intelligence (PD-AI),FCFCOA,australia,,practice-direction,v1 (May 2026),2026-05-01,true,,https://www.fcfcoa.gov.au/pd/pd-ai,,https://safelegalai.com/regulation/australia/au-fcfcoa-pd-ai
us-al-state-bar-formal-opinion-2026-01,Alabama State Bar Formal Opinion 2026-01: Artificial Intelligence Use — Best Practices Under Existing Professional Conduct Rules,Alabama State Bar,us-state,Alabama,ethics-opinion,FO 2026-01,2026-05-01,true,"Initial publication; the source gives a month only (published May 2026), so the day is recorded as the 1st",https://www.alabar.org/assets/2026/05/FO-2026-01.pdf,,https://safelegalai.com/regulation/us-state/us-al-state-bar-formal-opinion-2026-01
pk-njpmc-national-ai-guidelines-judicial-institutions-2026,National Guidelines for the Use of Artificial Intelligence in Judicial Institutions,NJPMC,other,,guidance,Original,2026-04-29,true,Approved at the 57th NJPMC meeting; official text not located online.,https://www.dawn.com/news/1996074/njpmc-issues-guidelines-for-ai-use-in-judicial-institutions,,https://safelegalai.com/regulation/other/pk-njpmc-national-ai-guidelines-judicial-institutions-2026
gh-national-ai-strategy-2025-2035,Ghana National Artificial Intelligence Strategy 2025-2035,MoCDTI,other,,policy,Launched by President John Dramani Mahama,2026-04-24,true,"First national AI strategy for Ghana; announced alongside a proposed USD 250m AI computing centre. The strategy document itself was not obtained; the record rests on ministry launch announcements, so it is unverified.",https://moc.gov.gh/2026/04/24/ghana-launches-national-ai-strategy-to-drive-digital-transformation-and-economic-growth/,,https://safelegalai.com/regulation/other/gh-national-ai-strategy-2025-2035
cl-corte-suprema-rol-23322-2025-ai-citations,Supreme Court Rol 23.322-2025: suspension and fine for AI-fabricated doctrinal citations,Corte Suprema,other,,judgment-guidance,Decision of 22 April 2026,2026-04-22,true,Initial decision; reported on the judiciary's own news service.,https://www.pjud.cl/prensa-y-comunicaciones/noticias-del-poder-judicial/145652,,https://safelegalai.com/regulation/other/cl-corte-suprema-rol-23322-2025-ai-citations
tw-judicial-yuan-ai-system-reference-guidelines-2026,Reference Guidelines for the Use of Artificial Intelligence Systems by the Judicial Yuan and Subordinate Agencies,Judicial Yuan,other,,guidance,Original,2026-04-22,true,"Issued by order of 22 April 2026; the official page on judicial.gov.tw was not located, so a mirror of the national law database is cited.",https://lawplayer.com/article/6a08db0a3521bb47cdb12c8f,,https://safelegalai.com/regulation/other/tw-judicial-yuan-ai-system-reference-guidelines-2026
au-federal-court-gpn-ai,Generative Artificial Intelligence Practice Note (GPN-AI),Federal Court of Australia,australia,,practice-direction,Original,2026-04-16,true,,https://www.fedcourt.gov.au/law-and-practice/practice-documents/practice-notes/gpn-ai,https://web.archive.org/web/20260814154225/https://www.fedcourt.gov.au/law-and-practice/practice-documents/practice-notes/gpn-ai,https://safelegalai.com/regulation/australia/au-federal-court-gpn-ai
br-oab-sp-ted-supervisao-ia-2026,OAB/SP Ethics and Discipline Tribunal ruling on partners' duty to supervise AI use (proc. 25.0886.2025.014989-0),OAB/SP TED,brazil,Sao Paulo,ethics-opinion,Ruling of 16 April 2026 (published May 2026),2026-04-16,true,"Initial ruling; reported by Migalhas, official text not obtained.",https://www.migalhas.com.br/quentes/455537/advogados-socios-devem-garantir-supervisao-em-uso-de-ia-decide-oab-sp,,https://safelegalai.com/regulation/brazil/br-oab-sp-ted-supervisao-ia-2026
us-tx-williamson-county-2024-local-rules-ai-filings,Williamson County Local Rules: Use of Artificial Intelligence in Court Filings,Williamson County District Courts and County Courts at Law,us-state,Texas,court-rule,Amended,2026-04-14,true,,https://topics.txcourts.gov/LocalRulesPublic/PreviewAttachment/2928,,https://safelegalai.com/regulation/us-state/us-tx-williamson-county-2024-local-rules-ai-filings
es-cgae-circular-3-2026-ia-generativa-verificacion,CGAE Interpretive Circular 3/2026: use of generative AI systems and the duty of verification,CGAE,other,,ethics-opinion,"Dated Madrid 20 March 2026; approved by the Pleno 10 April 2026, amended 13 April 2026",2026-04-13,true,"Original text, from the ICAIB mirror of the CGAE circular.",https://www.icaib.org/wp-content/uploads/2026/04/Circular-interpretativa-3-2026_Deontologia-aprobada-Pleno-modificaciones-13-4-2026.pdf,,https://safelegalai.com/regulation/other/es-cgae-circular-3-2026-ia-generativa-verificacion
za-draft-national-ai-policy-withdrawn,Draft South Africa National Artificial Intelligence (AI) Policy (published GN 3880 of 2026; withdrawn by Notice 3978 of 2026),DCDT,south-africa,,policy,Draft for public comment,2026-04-10,true,Approved by Cabinet 25 March 2026 (and a special sitting on 1 April 2026); published as General Notice 3880 in Government Gazette 54477 for comment to 10 June 2026.,https://www.gov.za/sites/default/files/gcis_document/202604/54477gen3880.pdf,,https://safelegalai.com/regulation/south-africa/za-draft-national-ai-policy-withdrawn
za-draft-national-ai-policy-withdrawn,Draft South Africa National Artificial Intelligence (AI) Policy (published GN 3880 of 2026; withdrawn by Notice 3978 of 2026),DCDT,south-africa,,policy,Withdrawal,2026-06-12,false,"Withdrawn in its entirety by Notice 3978 of 2026, Government Gazette 54840 (signed by Minister Solly Malatsi on 4 June 2026), after the draft was found to contain fabricated academic citations generated by AI.",https://www.gov.za/sites/default/files/gcis_document/202606/54840gen3978.pdf,,https://safelegalai.com/regulation/south-africa/za-draft-national-ai-policy-withdrawn
pt-csm-recomendacoes-uso-ia-atividade-jurisdicional,CSM Recommendations on the use of artificial intelligence in judicial activity (Recomendacoes no uso de IA),CSM,other,,guidance,Approved by the Plenario 8 April 2026; PDF published May 2026,2026-04-08,true,,https://csm.org.pt/wp-content/uploads/2026/05/Recomendacoes_Uso_IA.pdf,,https://safelegalai.com/regulation/other/pt-csm-recomendacoes-uso-ia-atividade-jurisdicional
in-punjab-haryana-hc-ai-ban-judicial-officers,Directive prohibiting judicial officers from using AI tools for judgments and legal research,Punjab and Haryana High Court,india,"Punjab, Haryana and Chandigarh",policy,Original,2026-04-06,true,Administrative communication reported 7 April 2026; official text not located.,https://lawtrend.in/punjab-and-haryana-high-court-bans-judicial-officers-from-using-ai-for-judgments-and-legal-research/,,https://safelegalai.com/regulation/india/in-punjab-haryana-hc-ai-ban-judicial-officers
es-tsj-navarra-2026-citas-inventadas-sin-sancion,"TSJ Navarra, Social Chamber (Apr 2026): Art. 247 LEC proceedings archived after apology for AI-invented citations",TSJ Navarra,other,Navarre,judgment-guidance,April 2026 (rapporteur Maria Jose Ramo),2026-04-04,true,Reported by El Espanol on 4 April 2026; official text not obtained.,https://www.elespanol.com/espana/tribunales/20260404/abogada-cito-recurso-sentencias-inventadas-ia-libra-sancion-pedir-perdon-tribunal/1003744194050_0.html,,https://safelegalai.com/regulation/other/es-tsj-navarra-2026-citas-inventadas-sin-sancion
sg-law-society-advisory-public-ai-tools,Advisory on the Use of Publicly Available AI Tools,Law Society of Singapore,singapore,,guidance,Original,2026-04-02,true,,https://www.lawsociety.org.sg/wp-content/uploads/2026/04/Law-Societys-Advisory-on-the-Use-of-Publicly-Available-AI-Tools-2-April-2026.pdf,https://web.archive.org/web/20260716080308/https://www.lawsociety.org.sg/wp-content/uploads/2026/04/Law-Societys-Advisory-on-the-Use-of-Publicly-Available-AI-Tools-2-April-2026.pdf,https://safelegalai.com/regulation/singapore/sg-law-society-advisory-public-ai-tools
us-md-fla-berger-ai-standing-order,Standing Order on Artificial Intelligence (Judge Wendy W. Berger),M.D. Fla. (Berger),us-federal,Florida,standing-order,Original,2026-04-02,true,,https://www.flmd.uscourts.gov/sites/flmd/files/documents/flmd-berger-standing-order-on-ai.pdf,,https://safelegalai.com/regulation/us-federal/us-md-fla-berger-ai-standing-order
in-gujarat-hc-ai-policy-judicial-court-administration,Policy on the Use of Artificial Intelligence in Judicial and Court Administration,Gujarat High Court,india,Gujarat,policy,Original,2026-04-01,true,"Original policy; PDF metadata date, published April 2026.",https://gujarathighcourt.nic.in/hccms/sites/default/files/miscnotifications/Policy%20on%20the%20use%20of%20Artificial%20Intelligence%20in%20the%20Judicial%20and%20Court%20Administration.pdf,,https://safelegalai.com/regulation/india/in-gujarat-hc-ai-policy-judicial-court-administration
my-jpdp-admp-guideline,Guideline on Automated Decision-Making and Profiling (ADMP) under the Personal Data Protection Act 2010,JPDP,other,,regulation,Issued April 2026,2026-04-01,true,"Only the month of issue (April 2026) is established, so the date is recorded as the first of that month. Issued with companion DPIA and Data Protection by Design guidelines.",https://www.pdp.gov.my/ppdpv1/wp-content/uploads/2026/04/GARIS-PANDUAN-PEMBUATAN-KEPUTUSAN-SECARA-AUTOMATIK-DAN-PEMPROFILAN-ADMP-1.pdf,,https://safelegalai.com/regulation/other/my-jpdp-admp-guideline
us-ny-supreme-bannon-2026-genai-certification-remote-ai-ban,Part 61 Rules: Generative Artificial Intelligence Certification and Remote-Appearance Ban,"New York Supreme Court, New York County, Civil Term (Judge Bannon)",us-state,New York,standing-order,As posted (undated),2026-04-01,true,,https://www.nycourts.gov/legacypdfs/courts/1jd/supctmanh/Rules/part61-rules.pdf,,https://safelegalai.com/regulation/us-state/us-ny-supreme-bannon-2026-genai-certification-remote-ai-ban
us-tx-montgomery-284th-district-2026-generative-ai-standing-order,284th District Court Standing Order on Use of Generative Artificial Intelligence,284th District Court of Montgomery County (Judge Bays),us-state,Texas,standing-order,Original,2026-04-01,true,,https://topics.txcourts.gov/LocalRulesPublic/PreviewAttachment/2906,,https://safelegalai.com/regulation/us-state/us-tx-montgomery-284th-district-2026-generative-ai-standing-order
us-tx-montgomery-457th-district-2026-generative-ai-standing-order,457th District Court Standing Order on Use of Generative Artificial Intelligence,457th District Court of Montgomery County (Judge Santini),us-state,Texas,standing-order,Original,2026-04-01,true,,https://topics.txcourts.gov/LocalRulesPublic/PreviewAttachment/2905,,https://safelegalai.com/regulation/us-state/us-tx-montgomery-457th-district-2026-generative-ai-standing-order
us-txsd-kazen-2026-civil-generative-ai-procedures,Judge John A. Kazen Civil Court Procedures Section 8,Southern District of Texas (Judge Kazen),us-federal,Texas,standing-order,Original,2026-04-01,true,,https://www.txs.uscourts.gov/sites/txs/files/Civ%20Court%20Procedures_JAK_April%202026%20v2%20Final.pdf,,https://safelegalai.com/regulation/us-federal/us-txsd-kazen-2026-civil-generative-ai-procedures
za-ocj-draft-ai-policy-judiciary,Draft Policy on Artificial Intelligence for the Judiciary in South Africa,OCJ,south-africa,,policy,Draft for comment,2026-04-01,true,"Circulated for comment in April 2026; referenced and directed to be finalised by resolution 5.2 of the 2026 Judiciary Conference (16 July 2026). The draft text itself is not published at a stable official URL. Month-only date: the source gives the month, so the 1st is recorded as the date. The draft policy text is not published at a stable official URL; the record rests on the Judiciary Conference resolutions and press, so it is unverified.",https://www.judiciary.org.za/images/news/2026/FINAL%20ADOPTED%202026%20Judiciary%20Conference%20Resolutions.pdf,,https://safelegalai.com/regulation/south-africa/za-ocj-draft-ai-policy-judiciary
ccbe-technical-guide-ai-tools-lawyers,CCBE Technical guide on the use of AI tools and models by lawyers (Edition 2026),CCBE,eu,,guidance,Edition 2026,2026-03-27,true,,https://www.ccbe.eu/fileadmin/speciality_distribution/public/documents/IT_LAW/ITL_Guides_recommendations/EN_ITL_20260327_CCBE-technical-guide-on-the-use-of-AI-tools-and-models-by-lawyers.pdf,,https://safelegalai.com/regulation/eu/ccbe-technical-guide-ai-tools-lawyers
israel-courts-ai-ethics-code-01-26,Ethical Code for the Use of Artificial Intelligence Tools in the Judicial Authority (Courts Administration Procedure No. 01-26),Israel Courts Administration,israel,,policy,Procedure No. 01-26,2026-03-26,true,"First Israeli judicial AI instrument. Issued by Courts Administration Director Judge Tzachi Uziel, drafted by a team chaired by Judge Rami Khaimowitz of the Central District Court, approved by Supreme Court President Yitzhak Amit. Sources are secondary (law journal and press) quoting the procedure; the official text was not obtained, so this record is unverified.",https://journal.lawforum.org.il/gruzman-ai/,,https://safelegalai.com/regulation/israel/israel-courts-ai-ethics-code-01-26
us-ok-supreme-court-2026-generative-ai-order,Oklahoma Supreme Court Order Re: Generative Artificial Intelligence,Oklahoma Supreme Court,us-state,Oklahoma,standing-order,Original,2026-03-23,true,,https://okcourtsandmore.org/wp-content/uploads/2026/03/GENERATIVE-ARTIFICIAL-INTELLIGENCE.pdf,,https://safelegalai.com/regulation/us-state/us-ok-supreme-court-2026-generative-ai-order
fr-cnb-guide-deontologie-ia,Guide pratique — La déontologie et l'intelligence artificielle,CNB,other,,guidance,Adopted at the assemblée générale of 17 March 2026,2026-03-17,true,"First CNB deontological framework specific to generative AI, following the September 2024 practical guide. The guide itself is not public; the record rests on the CNB's own announcement, so it is unverified.",https://cnb.avocat.fr/actualite/le-cnb-adopte-un-guide-sur-la-deontologie-et-l-intelligence-artificielle,,https://safelegalai.com/regulation/other/fr-cnb-guide-deontologie-ia
us-nm-supreme-court-2026-ai-notetaking-memorandum,New Mexico Supreme Court Memorandum on AI Note-Taking Applications,New Mexico Supreme Court (Judge Thomson),us-state,New Mexico,policy,Original,2026-03-16,true,,https://humanresources.nmcourts.gov/wp-content/uploads/sites/63/2026/07/Artificial-Intelligence-AI-in-the-Courts.pdf,,https://safelegalai.com/regulation/us-state/us-nm-supreme-court-2026-ai-notetaking-memorandum
eg-national-ai-governance-framework-guide,"Guide to Egypt's National AI Governance Framework, Edition 2.0",ECRAI / Egypt NCAI,other,,guidance,2.0,2026-03-15,true,Approved for publication March 2026; document ID EG-NCAI-GOV-FW-2026-02. Drafted from version 0.1 (Aug 2025) and 0.8 (Oct 2025).,https://ai.gov.eg/SynchedFiles/ar/Resources/Guide%20to%20Egypt%E2%80%99s%20National%20AI%20Governance%20Framework%2015-3-2026.pdf,,https://safelegalai.com/regulation/other/eg-national-ai-governance-framework-guide
ca-state-bar-proposed-ai-rule-amendments,"Proposed amendments to Rules of Professional Conduct 1.1, 1.4, 1.6, 3.3, 5.1 and 5.3 related to artificial intelligence",State Bar of California,us-state,California,consultation,Public comment draft (COPRAC approved 13 March 2026),2026-03-13,true,,https://www.calbar.ca.gov/public/public-meetings-comment/public-comment/public-comment-archives/2026-public-comment/proposed-amendments-rules-professional-conduct-related-artificial-intelligence,,https://safelegalai.com/regulation/us-state/ca-state-bar-proposed-ai-rule-amendments
int-lcia-rules-revision-consultation-2026,LCIA Arbitration Rules revision consultation (AI disclosure and guardrails),LCIA,international,,consultation,Stage 1 consultation,2026-03-11,true,Submissions closed 11 May 2026; draft revised Arbitration and Mediation Rules due for a second round later in 2026.,https://www.lcia.org/News/lcia-rules-revision-consultation.aspx,,https://safelegalai.com/regulation/international/int-lcia-rules-revision-consultation-2026
ke-hc-savla-ai-pleadings-rulings,High Court of Kenya rulings on AI-generated pleadings: Savla v Commission on Administrative Justice and the April 2026 set-aside,High Court of Kenya,other,,judgment-guidance,Ruling striking out AI-generated application (Mwamuye J),2026-03-06,true,"Notice of motion and supporting affidavit found machine-generated and struck out for breach of Order 51 rule 13 and Order 19 rules 4-5 of the Civil Procedure Rules; defects held incurable by amendment, fresh compliant filing permitted. The Kenya Law page for the April 2026 ruling returned 404 on 4 September 2026 and the account rests partly on press reports, so this record is unverified.",https://capitalfm.africa/milimani-high-court-ai-generated-documents-struck-out/,,https://safelegalai.com/regulation/other/ke-hc-savla-ai-pleadings-rulings
ke-hc-savla-ai-pleadings-rulings,High Court of Kenya rulings on AI-generated pleadings: Savla v Commission on Administrative Justice and the April 2026 set-aside,High Court of Kenya,other,,judgment-guidance,Ruling setting aside the 23 December 2025 judgment (Chigiti J),2026-04-16,false,Judgment of 23 December 2025 set aside; the AI-founded application struck out with costs against the applicant.,https://new.kenyalaw.org/akn/ke/judgment/kehc/2026/5485/eng@2026-04-16,,https://safelegalai.com/regulation/other/ke-hc-savla-ai-pleadings-rulings
sg-minlaw-generative-ai-guide-legal-sector,Guide for Using Generative AI in the Legal Sector,MinLaw,singapore,,guidance,Original,2026-03-06,true,,https://www.mlaw.gov.sg/files/Guide_for_using_Generative_AI_in_the_Legal_Sector__Published_on_6_Mar_2026_.pdf,,https://safelegalai.com/regulation/singapore/sg-minlaw-generative-ai-guide-legal-sector
tr-tbmm-ai-commission-report-260,"Report of the Parliamentary Research Commission on Artificial Intelligence, Report No. 260",TBMM AI Research Commission,other,,report,"Report No. 260, 28th legislative term",2026-03-01,true,"First institutional parliamentary document setting out Türkiye's AI law debate comprehensively. Exact day of publication within March 2026 not established. Month-only date: the source gives the month, so the 1st is recorded as the date. The official TBMM copy was not reachable; the record rests on a mirrored PDF and a secondary legal assessment, so it is unverified.",https://www.tmmob.org.tr/sites/default/files/tbmm_yapay_zeka_arastirma_komisyon_raporu.pdf,,https://safelegalai.com/regulation/other/tr-tbmm-ai-commission-report-260
us-cod-kane-2026-ai-certification,Pretrial and Trial Procedures Memorandum for Civil Cases,District of Colorado (Judge Kane),us-federal,Colorado,standing-order,As posted (undated),2026-03-01,true,,https://www.cod.uscourts.gov/Portals/0/Documents/Judges/JLK/JLK_Pretrial_and_Trial_Procedures_Memo_Civil.pdf,,https://safelegalai.com/regulation/us-federal/us-cod-kane-2026-ai-certification
es-tsj-canarias-2026-48-citas-falsas,"TSJ Canarias, Criminal Chamber (Feb 2026): fine for 48 AI-fabricated Supreme Court citations",TSJ Canarias,other,Canary Islands,judgment-guidance,February 2026,2026-02-28,true,Reported in press; exact date and official text not obtained.,https://www.xataka.com/magnet/tribunal-superior-justicia-canarias-multa-a-abogado-citar-48-sentencias-falsas-se-habia-sugerido-ia,,https://safelegalai.com/regulation/other/es-tsj-canarias-2026-48-citas-falsas
kr-scourt-ai-guidebook-for-judges-2026,AI Guidebook for Judges,Korea National Court Administration,other,,guidance,Original,2026-02-24,true,Announced 24 February 2026; distributed to all judges in March 2026. Official press release not retrievable.,https://dailian.co.kr/news/view/1613520/,,https://safelegalai.com/regulation/other/kr-scourt-ai-guidebook-for-judges-2026
nzls-generative-ai-guidance-lawyers,Generative AI guidance for lawyers,NZ Law Society,nz,,guidance,February 2026 update,2026-02-24,true,"Updated guidance on verification, privacy and privilege, client communication and fee review; first published in 2024.",https://www.lawsociety.org.nz/professional-practice/rules-and-maintaining-professional-standards/generative-ai-guidance-for-lawyers/,,https://safelegalai.com/regulation/nz/nzls-generative-ai-guidance-lawyers
nzls-generative-ai-guidance-lawyers,Generative AI guidance for lawyers,NZ Law Society,nz,,guidance,Original (2024),2024-01-01,false,,https://www.lawsociety.org.nz/professional-practice/rules-and-maintaining-professional-standards/generative-ai-guidance-for-lawyers/,,https://safelegalai.com/regulation/nz/nzls-generative-ai-guidance-lawyers
it-tribunale-siracusa-338-2026-ai-hallucinations,"Tribunale di Siracusa, Sez. II civ., judgment no. 338/2026 (AI-hallucinated citations, Art. 96 c.p.c.)",Trib. Siracusa,other,Sicily,judgment-guidance,Judgment 20 February 2026,2026-02-20,true,Reported by Il Sole 24 Ore NT+ Diritto; official text not obtained.,https://ntplusdiritto.ilsole24ore.com/art/quattro-sentenze-fantasma-e-conto-30000-euro-quando-l-utilizzazione-acritica-dell-ia-entra-tribunale-AIW7MlmB,,https://safelegalai.com/regulation/other/it-tribunale-siracusa-338-2026-ai-hallucinations
us-ga-fulton-whitaker-2026-ai-certification,Standing Order Regarding the Use of AI in Judge Whitaker’s Division,"Superior Court of Fulton County, Georgia (Judge Whitaker)",us-state,Georgia,standing-order,Original,2026-02-20,true,,https://www.fultonsuperiorcourtga.gov/sites/default/files/judges/forms/whitaker_ex_parte_standing_order%28AI%29.pdf,,https://safelegalai.com/regulation/us-state/us-ga-fulton-whitaker-2026-ai-certification
ke-artificial-intelligence-bill-2026,"The Artificial Intelligence Bill, 2026 (Senate Bills No. 4 of 2025)",Kenyan Senate,other,,statute,As published,2026-02-19,true,Published as a Senate Bill; must also be considered by the National Assembly because it concerns county governments.,https://new.kenyalaw.org/akn/ke/bill/senate/2026-02-19/the-artificial-intelligence-bill-2026/eng@2026-02-19,,https://safelegalai.com/regulation/other/ke-artificial-intelligence-bill-2026
us-ga-fulton-edwards-2026-ai-filing-notice,2026 Standing Case Management Order for Civil Cases in Judge Edwards’ Division: Use of Artificial Intelligence in the Courtroom,"Superior Court of Fulton County, Georgia (Judge Edwards)",us-state,Georgia,standing-order,Original,2026-02-19,true,,http://www.fultonsuperiorcourtga.gov/sites/default/files/judges/forms/Edwards_2026_Civil_Standing_Orders.pdf,,https://safelegalai.com/regulation/us-state/us-ga-fulton-edwards-2026-ai-filing-notice
es-aepd-orientaciones-ia-agentica-2026,AEPD Guidance on agentic AI from a data-protection perspective (Orientaciones sobre IA agentica),AEPD,other,,guidance,18 February 2026,2026-02-18,true,,https://www.aepd.es/guias/orientaciones-ia-agentica.pdf,,https://safelegalai.com/regulation/other/es-aepd-orientaciones-ia-agentica-2026
ph-sc-am-25-11-28-ai-governance-framework,A.M. No. 25-11-28-SC: Governance Framework on the Use of Human-Centered Augmented Intelligence in the Judiciary,Supreme Court of the Philippines,other,,court-rule,Adopted by the En Banc,2026-02-18,true,,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/11/101138,,https://safelegalai.com/regulation/other/ph-sc-am-25-11-28-ai-governance-framework
us-ok-occa-rule-1-17-generative-ai,Oklahoma Court of Criminal Appeals Rule 1.17 — Use of Generative Artificial Intelligence,Oklahoma Court of Criminal Appeals,us-state,Oklahoma,court-rule,Original,2026-02-18,true,"Adopted by order In re: Addition of a New Rule to the Rules of the Oklahoma Court of Criminal Appeals, 2026 OK CR 7",https://www.okcca.net/cases/2026/OK-CR-7/,https://web.archive.org/web/20260607172109/https://www.okcca.net/cases/2026/OK-CR-7/,https://safelegalai.com/regulation/us-state/us-ok-occa-rule-1-17-generative-ai
uk-cjc-ai-court-documents-consultation,Consultation: The Use of AI for the Preparation of Court Documents,CJC,uk,,consultation,Consultation paper,2026-02-17,true,,https://www.judiciary.uk/related-offices-and-bodies/advisory-bodies/cjc/latest-news/,,https://safelegalai.com/regulation/uk/uk-cjc-ai-court-documents-consultation
us-cand-cisneros-2026-technological-assistance,Civil Standing Order for Magistrate Judge Lisa J. Cisneros,Northern District of California (Judge Cisneros),us-federal,California,standing-order,Original,2026-02-17,true,,https://www.cand.uscourts.gov/sites/default/files/standing-orders/LJC-CivilStandingOrder_2-17-26.pdf,,https://safelegalai.com/regulation/us-federal/us-cand-cisneros-2026-technological-assistance
us-in-supreme-court-trial-court-ai-toolkit,Indiana Supreme Court Office of Judicial Administration: trial-court AI policy toolkit,Indiana Supreme Court OJA,us-state,Indiana,policy,Toolkit,2026-02-17,true,Released to Indiana trial courts,https://times.courts.in.gov/2026/02/17/ai-toolkit/,,https://safelegalai.com/regulation/us-state/us-in-supreme-court-trial-court-ai-toolkit
us-fl18-court-2026-generative-ai-disclosure,Administrative Order No. 26-10: Disclosure of Use of Generative Artificial Intelligence by Attorneys and Self-Represented Litigants,Eighteenth Judicial Circuit of Florida (Judge Chase),us-state,Florida,standing-order,Original,2026-02-13,true,,https://flcourts18.org/wp-content/uploads/2026/02/26-10.pdf,,https://safelegalai.com/regulation/us-state/us-fl18-court-2026-generative-ai-disclosure
ca-on-scj-practice-directions-ai,"The Use of Artificial Intelligence (AI) for Court Proceedings (consolidated civil, family and criminal practice directions)",Ontario Superior Court,canada,Ontario,practice-direction,"Consolidated practice directions, AI section added",2026-02-12,true,"AI section added to the consolidated civil, family and criminal provincial practice directions; civil direction last updated 17 March 2026.",https://www.ontariocourts.ca/scj/news/new-practice-directions-on-the-responsible-use-of-artificial-intelligence-in-court-proceedings/,,https://safelegalai.com/regulation/canada/ca-on-scj-practice-directions-ai
pt-relacao-guimaraes-2026-acordaos-inexistentes,"Tribunal da Relacao de Guimaraes, 10 Feb 2026: six non-existent appellate rulings generated by AI",TRG,other,,judgment-guidance,Acordao 10 February 2026,2026-02-10,true,Reported by CNN Portugal on 3 March 2026; official text not obtained.,https://cnnportugal.iol.pt/inteligencia-artificial/tribunal/relacao-de-guimaraes-acusa-advogado-de-citar-acordaos-que-so-existem-na-imaginacao-da-ia/20260303/69a6c222d34e28842c814a7c,,https://safelegalai.com/regulation/other/pt-relacao-guimaraes-2026-acordaos-inexistentes
